code  rate
"C11" 2100
"C13" 2100
"C22" 2100
"C28" 9946
"C29" 2763
"C65" 5526
"C80" 1658
"C84" 4421
"C85" 2100
"C86" 2100
"C87" 2100
"X10" 1547
"X21" 6631
"X22" 6631
"X24" 2984
"X25" 13262
"X26" 5526
"M01" 1239
"M02" 1239
"M03" 1239
"M05" 2487
"M32" 1658
"M10" 2763
"M20" 2210
"M61" 2487
"A15" 718
"A10" 1381
"A20" 2763
"B11" 2763
"B12" 3522
"V71" 2321
"V72" 3702
"V73" 4807
"V74" 6741
"V81" 3426
"V82" 4807
"V83" 5913
"V84" 7847
"V91" 4421
"V92" 5802
"V93" 6907
"V94" 8841
"V15" 6631
"V30" 2487
"V35" 1381
"V40" 553
"V50" 1105
"V70" 1105
"V80" 1934
"V85" 829
"E01" 2100
"E02" 3868
"E03" 3039
"E60" 4421
"E04" 4602
"E13" 9946
"E14" 14367
"E16" 18787
"E17" 23208
"E85" 1381
"E19" 1658
"E66" 4421
"E51" 3315
"E52" 2763
"E53" 3868
"E54" 2763
"E55" 2763
"E56" 3868
"E57" 2763
"E61" 7736
"E62" 4973
"E63" 4144
"E64" 4421
"E77" 5526
"E78" 2763
"E90" 4421
"E95" 1658
"E97" 6907
"E98" 2763
"E42" 1105
"E43" 2210
"E44" 553
"E45" 1105
"E31" 11051
"E32" 15472
"E33" 19893
"E34" 2210
"E36" 7736
"E37" 6631
"E86" 7460
"E87" 5526
"R08" 6631
"R09" 12709
"R10" 16577
"R11" 9946
"R12" 15472
"R13" 22103
"R14" 2763
"R24" 24313
"R28" 6631
"R29" 4973
"R31" 5526
"R32" 5526
"R33" 11051
"R40" 16577
"R45" 8289
"R46" 5526
"R49" 13814
"R50" 2763
"R55" 2763
"R60" 11051
"R61" 16577
"R65" 3868
"R66" 2210
"R70" 6078
"R71" 6078
"R72" 3315
"R73" 2210
"R74" 2210
"R75" 5526
"R76" 2763
"R77" 2763
"R78" 6631
"R79" 11051
"R80" 2763
"R85" 1105
"R90" 13814
"G02" 8841
"G03" 6078
"G61" 5526
"G62" 14919
"G63" 22103
"G64" 2763
"G65" 30392
"G66" 4973
"G67" 6078
"G68" 4421
"G33" 5526
"G69" 6078
"G10" 8289
"G11" 8289
"G12" 7736
"G13" 5526
"G14" 49732
"G15" 2763
"G16" 2763
"G20" 5526
"G71" 27629
"G72" 2763
"G73" 4421
"H11" 4144
"H16" 3094
"H21" 583
"H26" 6078
"H50" 5526
"H55" 1658
"H90" 5526
"H33" 6631
"H35" 6631
"H40" 4973
"H41" 3315
"H42" 6631
"H43" 8841
"H44" 6078
"H59" 7736
"H60" 7736
"H65" 14919
"H70" 7736
"H75" 14919
"H80" 10499
"H85" 17682
"P60" 3315
"P65" 2763
"P17" 5526
"P10" 8289
"P15" 16577
"P16" 6078
"P18" 1658
"P34" 22655
"P35" 30944
"P31" 13814
"P32" 8289
"P33" 5526
"P40" 1381
"P45" 11051
"P21" 16577
"P25" 22103
"P30" 35917
"P36" 2763
"P14" 6078
"P27" 5526
"P37" 3315
"P28" 5526
"P38" 6078
"P39" 8289
"P41" 2763
"P42" 2763
"P43" 3315
"P29" 4421
"P06" 3868
"P01" 3868
"P02" 8289
"P03" 5526
"P04" 8289
"P70" 15472
"P07" 1658
"P08" 4421
"P56" 3868
"P51" 3868
"P52" 8289
"P53" 5526
"P54" 8289
"P57" 1658
"P58" 4421
"P78" 4421
"P79" 4421
"T11" 14643
"T12" 16025
"T21" 2984
"T22" 2210
"T31" 8565
"T32" 9946
"T33" 4421
"T41" 5802
"T42" 8399
"T43" 11162
"T44" 14864
"T60" 14643
"T61" 16025
"T70" 17959
"T71" 27629
"T72" 33154
"T73" 5526
"T74" 14864
"T75" 14367
"T76" 6907
"T80" 11880
"T81" 9670
"T82" 5249
"T83" 13814
"T84" 33154
"T85" 11051
"T86" 17959
"T87" 17959
"T88" 33154
"T89" 5526
"T90" 14864
"T91" 3315
"T92" 6631
"T93" 3868
"T94" 7460
"T57" 5968
"T95" 2210
"T96" 5526
"J97" 16923
"J98" 9577
"J01" 6127
"J02" 9426
"J03" 12725
"J05" 4242
"J08" 1885
"J09" 22622
"J10" 14139
"J11" 12725
"J12" 13667
"J13" 6598
"J07" 2828
"J15" 8012
"J16" 8012
"J17" 12254
"J18" 5655
"J19" 6127
"J20" 21538
"J21" 7729
"J22" 10840
"J23" 7069
"J24" 2356
"J25" 4242
"J26" 15553
"J27" 21538
"J30" 9897
"J31" 4713
"J32" 10840
"J33" 30270
"J40" 14610
"J41" 3299
"J42" 19323
"J43" 6127
"J44" 2356
"J50" 48543
"J51" 31576
"J52" 31576
"J53" 9426
"J54" 12254
"J55" 14139
"J56" 16495
"J57" 8012
"J58" 10368
"J59" 12725
"J60" 5184
"J61" 8483
"J70" 13196
"J71" 16495
"J72" 18852
"J73" 21208
"J74" 5184
"J75" 9897
"J76" 12254
"J77" 14610
"J80" 47977
"U25" 1259
"U35" 1447
"U05" 1447
"U20" 18095
"Z10" 718
"Z20" 1105
"Z30" 1492
"Z40" 1823
"Z50" 2210
"Z60" 608
